file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,6
style.css,2,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,52
style.css,3,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,4,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,5,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,55
style.css,6,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,5
style.css,7,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,24
style.css,8,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,9,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,10,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,42
style.css,11,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,25
style.css,12,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,19
style.css,13,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,23
style.css,14,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,12
style.css,15,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,16,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,17,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,29
style.css,18,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,58
style.css,19,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,20,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,21,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,30
style.css,22,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,23
style.css,23,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,12
style.css,24,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,25,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,26,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,40
style.css,27,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,24
style.css,28,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,18
style.css,29,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,25
style.css,30,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,12
style.css,31,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,32,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,33,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,28
style.css,34,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,50
style.css,35,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,36,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,37,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,29
style.css,38,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,47
style.css,39,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,35
style.css,40,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,41,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,42,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,96
style.css,43,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,24
style.css,44,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,24
style.css,45,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,46,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,47,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,58
style.css,48,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,5
style.css,49,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,23
style.css,50,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,12
style.css,51,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,52,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,53,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,22
style.css,54,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,36
style.css,55,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,5
style.css,56,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,47
style.css,57,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,35
style.css,58,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,59,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,60,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,4
style.css,61,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,39
style.css,62,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,63,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,64,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,2
style.css,65,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,36
style.css,66,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,67,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,68,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,10
style.css,69,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,43
style.css,70,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,71,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,72,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,73,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,74,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,37
style.css,75,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,14
style.css,76,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,18
style.css,77,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,44
style.css,78,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,46
style.css,79,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,48
style.css,80,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,75
style.css,81,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,78
style.css,82,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,57
style.css,83,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,84,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,0
style.css,85,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,55
style.css,86,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,23
style.css,87,css,04ed6d5,Sebastian Ferragut,2025-05-09,09:38:35,-07:00,2025-05-09T09:38:35-07:00,0,20
